miasto;dzielnica;ulica;cena;powierzchnia;cena_m2;pokoje;pietro;liczba_pieter;liczba_poziomow;liczba_lazienek;lazienka_powierzchnia;lazienka_wc;rynek;rok_budowy;liczba_sypialni;balkon;taras;balkon_powierzchnia;kuchnia_powierzchnia;kuchnia_typ;ogrodek_powierzchnia;typ_budynku;material_budowlany;stan_budynku;stan_nieruchomosci
Gdañsk;VII Dwór;ul. Slowackiego 77;Zapytaj o c;40,24;;2;1;;;;;;pierwotny;2020;;;;;;;;;;;
Gdañsk;Letnica;ul. Starowiejska 50;Zapytaj o c;57,41;;3;6;;;;;;pierwotny;2021;;Tak;;7,04;;;;;;;
Gdañsk;VII Dwór;ul. Slowackiego 77;Zapytaj o c;38,17;;2;1;;;;;;pierwotny;2020;;;;;;;;;;;
Gdañsk;BrzeŸno;Gen. Józefa Hallera;599 000;46,11;12 990,67;2;6 / 12;12;;;;;wtórny;2019;1;Tak;;;;;;Apartamentowiec;;;
Gdañsk;Œródmieœcie;Jana Heweliusza;624 000;48,00;13 000;2;2 / 3;3;1;;;;wtórny;1956;1;Tak;;;;;;Kamienica;ceg³a;;
Gdañsk;£ostowice;ul. Ofiar Grudnia 70;Zapytaj o c;40,70;;2;1;;;;;;pierwotny;2022;;Tak;;4,8;;;;;;;
Gdañsk;Piecki;Migowska;515 264;45,72;11 269,99;2;1 / 2;2;;;;;pierwotny;2020;1;;Tak;;;;;Apartamentowiec;;;
Gdañsk;Wrzeszcz Górny;Migowska;1 265 208;124,04;10 200;5;parter / 2;2;;;;;pierwotny;2020;4;;;;;;;Apartamentowiec;;;
Gdañsk;Wrzeszcz;ul. Grudzi¹dzka 12;Zapytaj o c;115,63;;5;5;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Œródmieœcie;Mostek;465 000;55,12;8436,14;2;1 / 9;9;;;;;wtórny;1970;;;;;;;;Blok Mieszkalny;konstrukcja mieszana;;
Gdañsk;Strzy¿a;Mieczys³awa Kar³owicza;480 000;42,60;11 267,61;3;parter / 2;2;1;1;3;razem;wtórny;1950;;Nie;Nie;;;osobna;70;kamienica;ceg³a;dobry;
Gdañsk;Morena;Myœliwska;499 000;49,80;10 020,08;2;1 / 2;2;;;;;wtórny;2002;;Tak;;;;;;Blok Mieszkalny;;;
Gdañsk;Zakoniczyn;Jaworzniaków;885 000;144,60;6120,33;5;1 / 1;1;;;;;wtórny;2010;;Tak;;;;;;Blok Mieszkalny;silikat;;
Gdañsk;Ujeœcisko-£ostowice;£ostowice,;399 000;52,00;7673,08;2;2 / 2;2;1;1;5,8;razem;wtórny;2011;;Tak;Nie;5,2;;aneks;;blok;pustak;bardzo dobry;
Gdañsk;Zaspa;Konstantego Cio³kowskiego;659 000;71,70;9191,07;4;6 / 8;8;1;;;;wtórny;1980;3;Tak;;;;;;Blok Mieszkalny;wielka p³yta;;
Gdañsk;Œródmieœcie;Toruñska;875 700;83,40;10 500;4;4 / 8;8;;2;;;wtórny;2012;;Tak;;;;ANEKS KUCHENNY;;APARTAMENTOWIEC;;;
Gdañsk;Ujeœcisko;Kaliska;355 000;60,39;5878,46;2;2 / 2;2;;1;;;wtórny;1985;;;;;;ODDZIELNA;;NISKI BLOK;;;DO REMONTU
Gdañsk;Kokoszki;Fundamentowa;345 000;53,00;6509,43;3;4 / 4;4;;;;;wtórny;1974;2;Tak;;;;;;Blok Mieszkalny;;;
Gdañsk;Ujeœcisko-£ostowice;£ostowice,;373 363;62,75;5950;3;1 / 3;3;1;1;4,27;razem;pierwotny;2019;;Tak;Nie;5,3;;aneks;;blok;zró¿nicowany;surowy otwarty;
Gdañsk;Jasieñ;Potêgowska;485 500;74,63;6505,43;2;3 / 3;3;2;1;6,44;razem;pierwotny;2019;;Tak;Nie;4,82;;aneks;;blok;beton;bardzo dobry;
Gdañsk;Zakoniczyn;Œwiêtokrzyska;379 000;46,00;8239,13;2;parter / 2;2;;;;;wtórny;2018;;;;;;OTWARTA;;NISKI BLOK;;;BARDZO WYSOKI STANDARD
Gdañsk;Ujeœcisko-£ostowice;£ostowice,;301 925;46,45;6500;2;3 / 3;3;1;1;4,82;razem;pierwotny;2019;;Tak;Tak;5,7;;aneks;;blok;zró¿nicowany;surowy otwarty;
